Country,Continent,ISO_Code,Level,GDLCODE,Region,Subnational HDI,Health index,Educational index ,Income index
India,Asia/Pacific,IND,National,INDt,Total,0.642,0.772,0.552,0.621
India,Asia/Pacific,IND,Subnat,INDr101,Andhra Pradesh,0.639,0.779,0.517,0.648
India,Asia/Pacific,IND,Subnat,INDr125,Arunachal Pradesh,0.674,0.814,0.575,0.654
India,Asia/Pacific,IND,Subnat,INDr102,Assam,0.606,0.758,0.53,0.553
India,Asia/Pacific,IND,Subnat,INDr103,Bihar,0.578,0.756,0.48,0.533
India,Asia/Pacific,IND,Subnat,INDr129,Chhattisgarh,0.614,0.732,0.528,0.598
India,Asia/Pacific,IND,Subnat,INDr104,Goa,0.761,0.857,0.696,0.74
India,Asia/Pacific,IND,Subnat,INDr105,Gujarat,0.646,0.791,0.519,0.658
India,Asia/Pacific,IND,Subnat,INDr106,Haryana,0.701,0.802,0.613,0.701
India,Asia/Pacific,IND,Subnat,INDr107,Himachal Pradesh,0.713,0.803,0.649,0.697
India,Asia/Pacific,IND,Subnat,INDr128,Jharkhand,0.597,0.76,0.512,0.547
India,Asia/Pacific,IND,Subnat,INDr109,Karnataka,0.676,0.824,0.567,0.661
India,Asia/Pacific,IND,Subnat,INDr110,Kerala,0.762,0.884,0.713,0.704
India,Asia/Pacific,IND,Subnat,INDr111,Madhya Pradesh,0.604,0.736,0.509,0.589
India,Asia/Pacific,IND,Subnat,INDr112,Maharashtra,0.698,0.826,0.62,0.664
India,Asia/Pacific,IND,Subnat,INDr113,Manipur,0.687,0.83,0.656,0.595
India,Asia/Pacific,IND,Subnat,INDr114,Meghalaya,0.651,0.799,0.572,0.605
India,Asia/Pacific,IND,Subnat,INDr115,Mizoram,0.697,0.77,0.636,0.693
India,Asia/Pacific,IND,Subnat,INDr116,Nagaland,0.679,0.813,0.614,0.627
India,Asia/Pacific,IND,Subnat,INDr117,Orissa,0.605,0.762,0.505,0.576
India,Asia/Pacific,IND,Subnat,INDr118,Punjab,0.703,0.812,0.598,0.717
India,Asia/Pacific,IND,Subnat,INDr119,Rajasthan,0.647,0.77,0.543,0.648
India,Asia/Pacific,IND,Subnat,INDr120,Sikkim,0.711,0.833,0.644,0.671
India,Asia/Pacific,IND,Subnat,INDr121,Tamil Nadu,0.695,0.838,0.608,0.659
India,Asia/Pacific,IND,Subnat,INDr130,Telangana,0.656,0.793,0.542,0.655
India,Asia/Pacific,IND,Subnat,INDr126,Tripura,0.637,0.82,0.549,0.575
India,Asia/Pacific,IND,Subnat,INDr123,Uttar Pradesh,0.6,0.71,0.524,0.58
India,Asia/Pacific,IND,Subnat,INDr127,Uttaranchal,0.681,0.778,0.609,0.666
India,Asia/Pacific,IND,Subnat,INDr122,West Bengal,0.633,0.807,0.534,0.587
