Country,Continent,ISO_Code,Level,GDLCODE,Region,Subnational HDI,Health index,Educational index ,Income index
India,Asia/Pacific,IND,National,INDt,Total,0.645,0.783,0.54,0.634
India,Asia/Pacific,IND,Subnat,INDr101,Andhra Pradesh,0.642,0.791,0.505,0.661
India,Asia/Pacific,IND,Subnat,INDr125,Arunachal Pradesh,0.677,0.826,0.563,0.667
India,Asia/Pacific,IND,Subnat,INDr102,Assam,0.609,0.769,0.519,0.565
India,Asia/Pacific,IND,Subnat,INDr103,Bihar,0.581,0.768,0.469,0.545
India,Asia/Pacific,IND,Subnat,INDr129,Chhattisgarh,0.617,0.743,0.517,0.61
India,Asia/Pacific,IND,Subnat,INDr104,Goa,0.765,0.87,0.683,0.754
India,Asia/Pacific,IND,Subnat,INDr105,Gujarat,0.65,0.803,0.509,0.671
India,Asia/Pacific,IND,Subnat,INDr106,Haryana,0.704,0.814,0.601,0.714
India,Asia/Pacific,IND,Subnat,INDr107,Himachal Pradesh,0.717,0.815,0.636,0.71
India,Asia/Pacific,IND,Subnat,INDr128,Jharkhand,0.6,0.771,0.501,0.559
India,Asia/Pacific,IND,Subnat,INDr109,Karnataka,0.679,0.836,0.556,0.674
India,Asia/Pacific,IND,Subnat,INDr110,Kerala,0.766,0.897,0.699,0.717
India,Asia/Pacific,IND,Subnat,INDr111,Madhya Pradesh,0.607,0.748,0.498,0.601
India,Asia/Pacific,IND,Subnat,INDr112,Maharashtra,0.701,0.838,0.607,0.677
India,Asia/Pacific,IND,Subnat,INDr113,Manipur,0.691,0.842,0.644,0.608
India,Asia/Pacific,IND,Subnat,INDr114,Meghalaya,0.654,0.811,0.56,0.618
India,Asia/Pacific,IND,Subnat,INDr115,Mizoram,0.701,0.782,0.624,0.706
India,Asia/Pacific,IND,Subnat,INDr116,Nagaland,0.683,0.825,0.602,0.64
India,Asia/Pacific,IND,Subnat,INDr117,Orissa,0.608,0.773,0.494,0.588
India,Asia/Pacific,IND,Subnat,INDr118,Punjab,0.707,0.824,0.587,0.731
India,Asia/Pacific,IND,Subnat,INDr119,Rajasthan,0.65,0.781,0.531,0.661
India,Asia/Pacific,IND,Subnat,INDr120,Sikkim,0.715,0.845,0.631,0.685
India,Asia/Pacific,IND,Subnat,INDr121,Tamil Nadu,0.699,0.851,0.596,0.672
India,Asia/Pacific,IND,Subnat,INDr130,Telangana,0.658,0.805,0.53,0.669
India,Asia/Pacific,IND,Subnat,INDr126,Tripura,0.64,0.832,0.537,0.588
India,Asia/Pacific,IND,Subnat,INDr123,Uttar Pradesh,0.603,0.721,0.514,0.593
India,Asia/Pacific,IND,Subnat,INDr127,Uttaranchal,0.684,0.79,0.597,0.679
India,Asia/Pacific,IND,Subnat,INDr122,West Bengal,0.636,0.82,0.523,0.6
